8085,8331,"{11: 1, 7: 2, 5: 1, 3: 1}","[1, 3, 5, 15, 7, 21, 35, 105, 49, 147, 245, 735, 11, 33, 55, 165, 77, 231, 385, 1155, 539, 1617, 2695]",80,106
8415,8433,"{17: 1, 11: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 11, 33, 99, 55, 165, 495, 17, 51, 153, 85, 255, 765, 187, 561, 1683, 935, 2805]",84,140
8505,8967,"{7: 1, 5: 1, 3: 5}","[1, 3, 9, 27, 81, 243, 5, 15, 45, 135, 405, 1215, 7, 21, 63, 189, 567, 1701, 35, 105, 315, 945, 2835]",88,92
8925,8931,"{17: 1, 7: 1, 5: 2, 3: 1}","[1, 3, 5, 15, 25, 75, 7, 21, 35, 105, 175, 525, 17, 51, 85, 255, 425, 1275, 119, 357, 595, 1785, 2975]",90,144
9135,9585,"{29: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 29, 87, 261, 145, 435, 1305, 203, 609, 1827, 1015, 3045]",96,156
9555,9597,"{13: 1, 7: 2, 5: 1, 3: 1}","[1, 3, 5, 15, 7, 21, 35, 105, 49, 147, 245, 735, 13, 39, 65, 195, 91, 273, 455, 1365, 637, 1911, 3185]",100,117
9765,10203,"{31: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 31, 93, 279, 155, 465, 1395, 217, 651, 1953, 1085, 3255]",102,114
10395,12645,"{11: 1, 7: 1, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 7, 21, 63, 189, 35, 105, 315, 945, 11, 33, 99, 297, 55, 165, 495, 1485, 77, 231, 693, 2079, 385, 1155, 3465]",104,106
11025,11946,"{7: 2, 5: 2, 3: 2}","[1, 3, 9, 5, 15, 45, 25, 75, 225, 7, 21, 63, 35, 105, 315, 175, 525, 1575, 49, 147, 441, 245, 735, 2205, 1225, 3675]",108,172
11655,12057,"{37: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 37, 111, 333, 185, 555, 1665, 259, 777, 2331, 1295, 3885]",112,136
12285,14595,"{13: 1, 7: 1, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 7, 21, 63, 189, 35, 105, 315, 945, 13, 39, 117, 351, 65, 195, 585, 1755, 91, 273, 819, 2457, 455, 1365, 4095]",114,126
12705,12831,"{11: 2, 7: 1, 5: 1, 3: 1}","[1, 3, 5, 15, 7, 21, 35, 105, 11, 33, 55, 165, 77, 231, 385, 1155, 121, 363, 605, 1815, 847, 2541, 4235]",120,240
12915,13293,"{41: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 41, 123, 369, 205, 615, 1845, 287, 861, 2583, 1435, 4305]",126,186
13545,13911,"{43: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 43, 129, 387, 215, 645, 1935, 301, 903, 2709, 1505, 4515]",132,204
14175,15833,"{7: 1, 5: 2, 3: 4}","[1, 3, 9, 27, 81, 5, 15, 45, 135, 405, 25, 75, 225, 675, 2025, 7, 21, 63, 189, 567, 35, 105, 315, 945, 2835, 175, 525, 1575, 4725]",138,150
14805,15147,"{47: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 47, 141, 423, 235, 705, 2115, 329, 987, 2961, 1645, 4935]",140,196
15015,17241,"{13: 1, 11: 1, 7: 1, 5: 1, 3: 1}","[1, 3, 5, 15, 7, 21, 35, 105, 11, 33, 55, 165, 77, 231, 385, 1155, 13, 39, 65, 195, 91, 273, 455, 1365, 143, 429, 715, 2145, 1001, 3003, 5005]",144,259
15435,15765,"{7: 3, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 49, 147, 441, 245, 735, 2205, 343, 1029, 3087, 1715, 5145]",150,222
16065,18495,"{17: 1, 7: 1, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 7, 21, 63, 189, 35, 105, 315, 945, 17, 51, 153, 459, 85, 255, 765, 2295, 119, 357, 1071, 3213, 595, 1785, 5355]",156,236
16695,17001,"{53: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 53, 159, 477, 265, 795, 2385, 371, 1113, 3339, 1855, 5565]",160,218
17325,21363,"{11: 1, 7: 1, 5: 2, 3: 2}","[1, 3, 9, 5, 15, 45, 25, 75, 225, 7, 21, 63, 35, 105, 315, 175, 525, 1575, 11, 33, 99, 55, 165, 495, 275, 825, 2475, 77, 231, 693, 385, 1155, 3465, 1925, 5775]",162,201
17955,20445,"{19: 1, 7: 1, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 7, 21, 63, 189, 35, 105, 315, 945, 19, 57, 171, 513, 95, 285, 855, 2565, 133, 399, 1197, 3591, 665, 1995, 5985]",168,312
18585,18855,"{59: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 59, 177, 531, 295, 885, 2655, 413, 1239, 3717, 2065, 6195]",174,186
19215,19473,"{61: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 61, 183, 549, 305, 915, 2745, 427, 1281, 3843, 2135, 6405]",176,196
19305,21015,"{13: 1, 11: 1, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 11, 33, 99, 297, 55, 165, 495, 1485, 13, 39, 117, 351, 65, 195, 585, 1755, 143, 429, 1287, 3861, 715, 2145, 6435]",180,366
19635,21837,"{17: 1, 11: 1, 7: 1, 5: 1, 3: 1}","[1, 3, 5, 15, 7, 21, 35, 105, 11, 33, 55, 165, 77, 231, 385, 1155, 17, 51, 85, 255, 119, 357, 595, 1785, 187, 561, 935, 2805, 1309, 3927, 6545]",186,198
19845,21537,"{7: 2, 5: 1, 3: 4}","[1, 3, 9, 27, 81, 5, 15, 45, 135, 405, 7, 21, 63, 189, 567, 35, 105, 315, 945, 2835, 49, 147, 441, 1323, 3969, 245, 735, 2205, 6615]",192,316
20475,24661,"{13: 1, 7: 1, 5: 2, 3: 2}","[1, 3, 9, 5, 15, 45, 25, 75, 225, 7, 21, 63, 35, 105, 315, 175, 525, 1575, 13, 39, 117, 65, 195, 585, 325, 975, 2925, 91, 273, 819, 455, 1365, 4095, 2275, 6825]",196,203
21105,21327,"{67: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 67, 201, 603, 335, 1005, 3015, 469, 1407, 4221, 2345, 7035]",198,270
21735,24345,"{23: 1, 7: 1, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 7, 21, 63, 189, 35, 105, 315, 945, 23, 69, 207, 621, 115, 345, 1035, 3105, 161, 483, 1449, 4347, 805, 2415, 7245]",200,265
21945,24135,"{19: 1, 11: 1, 7: 1, 5: 1, 3: 1}","[1, 3, 5, 15, 7, 21, 35, 105, 11, 33, 55, 165, 77, 231, 385, 1155, 19, 57, 95, 285, 133, 399, 665, 1995, 209, 627, 1045, 3135, 1463, 4389, 7315]",204,300
22275,22737,"{11: 1, 5: 2, 3: 4}","[1, 3, 9, 27, 81, 5, 15, 45, 135, 405, 25, 75, 225, 675, 2025, 11, 33, 99, 297, 891, 55, 165, 495, 1485, 4455, 275, 825, 2475, 7425]",208,226
